央视,#genre#
CCTV1,http://171.38.149.175:8082udp://@224.1.2.16:32016
CCTV2,http://171.38.149.175:8082udp://@224.1.2.49:32049
CCTV3,http://171.38.149.175:8082udp://@224.1.2.7:32007
CCTV4,http://171.38.149.175:8082udp://@224.1.2.50:32050
CCTV4,http://171.38.149.175:8082udp://@224.1.2.20:32020
CCTV5,http://171.38.149.175:8082udp://@224.1.2.66:32066
CCTV5+,http://171.38.149.175:8082udp://@224.1.2.8:32008
CCTV6,http://171.38.149.175:8082udp://@224.1.2.9:32009
CCTV7,http://171.38.149.175:8082udp://@224.1.2.69:32069
CCTV8,http://171.38.149.175:8082udp://@224.1.2.10:32010
CCTV9,http://171.38.149.175:8082udp://@224.1.2.77:32077
CCTV10,http://171.38.149.175:8082udp://@224.1.2.51:32051
CCTV11,http://171.38.149.175:8082udp://@224.1.2.52:32052
CCTV12,http://171.38.149.175:8082udp://@224.1.2.67:32067
CCTV13,http://171.38.149.175:8082udp://@224.1.2.54:32054
CCTV14,http://171.38.149.175:8082udp://@224.1.2.70:32070
CCTV15,http://171.38.149.175:8082udp://@224.1.2.15:32015
CCTV16,http://171.38.149.175:8082udp://@224.1.2.78:32078
CCTV17,http://171.38.149.175:8082udp://@224.1.2.55:32055
卫视,#genre#
浙江卫视,http://171.38.149.175:8082udp://@224.1.2.64:32064
湖南卫视,http://171.38.149.175:8082udp://@224.1.2.63:32063
东方卫视,http://171.38.149.175:8082udp://@224.1.2.65:32065
北京卫视,http://171.38.149.175:8082udp://@224.1.2.12:32012
江苏卫视,http://171.38.149.175:8082udp://@224.1.2.19:32019
江西卫视,http://171.38.149.175:8082udp://@224.1.2.28:32028
深圳卫视,http://171.38.149.175:8082udp://@224.1.2.68:32068
湖北卫视,http://171.38.149.175:8082udp://@224.1.2.82:32082
吉林卫视,http://171.38.149.175:8082udp://@224.1.2.39:32039
四川卫视,http://171.38.149.175:8082udp://@224.1.2.27:32027
天津卫视,http://171.38.149.175:8082udp://@224.1.2.48:32048
宁夏卫视,http://171.38.149.175:8082udp://@224.1.2.41:32041
安徽卫视,http://171.38.149.175:8082udp://@224.1.2.23:32023
山东卫视,http://171.38.149.175:8082udp://@224.1.2.18:32018
山西卫视,http://171.38.149.175:8082udp://@224.1.2.33:32033
广东卫视,http://171.38.149.175:8082udp://@224.1.2.17:32017
广西卫视,http://171.38.149.175:8082udp://@224.1.2.62:32062
东南卫视,http://171.38.149.175:8082udp://@224.1.2.26:32026
黑龙江卫视,http://171.38.149.175:8082udp://@224.1.2.14:32014
新疆卫视,http://171.38.149.175:8082udp://@224.1.2.34:32034
河北卫视,http://171.38.149.175:8082udp://@224.1.2.24:32024
河南卫视,http://171.38.149.175:8082udp://@224.1.2.38:32038
云南卫视,http://171.38.149.175:8082udp://@224.1.2.37:32037
甘肃卫视,http://171.38.149.175:8082udp://@224.1.2.29:32029
贵州卫视,http://171.38.149.175:8082udp://@224.1.2.25:32025
辽宁卫视,http://171.38.149.175:8082udp://@224.1.2.30:32030
